Company Name,Symbol
Kesoram Industries Limited,KESORAMIND
Kewal Kiran Clothing Limited,KKCL
Kingfa Science & Technology (India) Limited,KINGFA
KIOCL Limited,KIOCL
Kiri Industries Limited,KIRIINDUS
Kirloskar Brothers Limited,KIRLOSBROS
Kirloskar Industries Limited,KIRLOSIND
Kirloskar Oil Engines Limited,KIRLOSENG
Kitex Garments Limited,KITEX
KNR Constructions Limited,KNRCON
Kokuyo Camlin Limited,KOKUYOCMLN
Kolte - Patil Developers Limited,KOLTEPATIL
Kotak Mahindra Bank Limited,KOTAKBANK
KPIT Technologies Limited,KPITTECH
KRBL Limited,KRBL
Ksb Limited,KSB
Kuantum Papers Limited,KUANTUM
L&T Finance Holdings Limited,L&TFH
L&T Technology Services Limited,LTTS
La Opala RG Limited,LAOPALA
Lakshmi Machine Works Limited,LAXMIMACH
Lakshmi Vilas Bank Limited,LAKSHVILAS
Larsen & Toubro Infotech Limited,LTI
Larsen & Toubro Limited,LT
Laurus Labs Limited,LAURUSLABS
Lemon Tree Hotels Limited,LEMONTREE
LG Balakrishnan & Bros Limited,LGBBROSLTD
Liberty Shoes Limited,LIBERTSHOE
LIC Housing Finance Limited,LICHSGFIN
Linc Pen & Plastics Limited,LINCPEN
Lincoln Pharmaceuticals Limited,LINCOLN
Linde India Limited,LINDEINDIA
LT Foods Limited,DAAWAT
Lumax Auto Technologies Limited,LUMAXTECH
Lumax Industries Limited,LUMAXIND
Lupin Limited,LUPIN
Lux Industries Limited,LUXIND
Madhav Copper Limited,MCL
Madhya Bharat Agro Products Limited,MBAPL
Madras Fertilizers Limited,MADRASFERT
Magma Fincorp Limited,MAGMA
Mahanagar Gas Limited,MGL
Mahanagar Telephone Nigam Limited,MTNL
Maharashtra Scooters Limited,MAHSCOOTER
Maharashtra Seamless Limited,MAHSEAMLES
Maheshwari Logistics Limited,MAHESHWARI
Mahindra & Mahindra Financial Services Limited,M&MFIN
Mahindra & Mahindra Limited,M&M
Mahindra CIE Automotive Limited,MAHINDCIE
Mahindra EPC Irrigation Limited,MAHEPC
Mahindra Holidays & Resorts India Limited,MHRIL
Mahindra Lifespace Developers Limited,MAHLIFE
Mahindra Logistics Limited,MAHLOG
Maithan Alloys Limited,MAITHANALL
Majesco Limited,MAJESCO
Man Industries (India) Limited,MANINDS
Man Infraconstruction Limited,MANINFRA
Manaksia Limited,MANAKSIA
Manali Petrochemicals Limited,MANALIPETC
Manappuram Finance Limited,MANAPPURAM
Mangalam Cement Limited,MANGLMCEM
Mangalore Chemicals & Fertilizers Limited,MANGCHEFER
Mangalore Refinery and Petrochemicals Limited,MRPL
Marathon Nextgen Realty Limited,MARATHON
Marico Limited,MARICO
Marine Electricals (India) Limited,MARINE
Marksans Pharma Limited,MARKSANS
Maruti Suzuki India Limited,MARUTI
MAS Financial Services Limited,MASFIN
Mastek Limited,MASTEK
Matrimony.Com Limited,MATRIMONY
Max Financial Services Limited,MFSL
Max India Limited,MAXINDIA
Max Ventures and Industries Limited,MAXVIL
Mayur Uniquoters Ltd,MAYURUNIQ
Meghmani Organics Limited,MEGH
Menon Bearings Limited,MENONBE
MEP Infrastructure Developers Limited,MEP
Metropolis Healthcare Limited,METROPOLIS
Minda Corporation Limited,MINDACORP
Minda Industries Limited,MINDAIND
MindTree Limited,MINDTREE
Mirza International Limited,MIRZAINT
Mishra Dhatu Nigam Limited,MIDHANI
MM Forgings Limited,MMFL
MMP Industries Limited,MMP
MMTC Limited,MMTC
MOIL Limited,MOIL
Mold-Tek Packaging Limited,MOLDTKPAC
Monnet Ispat & Energy Limited,AIONJSW
Monte Carlo Fashions Limited,MONTECARLO
Morepen Laboratories Limited,MOREPENLAB
Motherson Sumi Systems Limited,MOTHERSUMI
Motilal Oswal Financial Services Limited,MOTILALOFS
MphasiS Limited,MPHASIS
MPS Limited,MPSLTD
MRF Limited,MRF
MSP Steel & Power Limited,MSPL
Mstc Limited,MSTCLTD
Mukand Limited,MUKANDLTD
Munjal Auto Industries Limited,MUNJALAU
Munjal Showa Limited,MUNJALSHOW
Music Broadcast Limited,RADIOCITY
Muthoot Capital Services Limited,MUTHOOTCAP
Muthoot Finance Limited,MUTHOOTFIN
N R Agarwal Industries Limited,NRAIL
N. B. I. Industrial Finance Company Limited,NBIFIN
NACL Industries Limited,NACLIND
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
Nalwa Sons Investments Limited,NSIL
Narayana Hrudayalaya Ltd.,NH
Natco Pharma Limited,NATCOPHARM
Nath Bio-Genes (India) Limited,NATHBIOGEN
National Aluminium Company Limited,NATIONALUM
National Fertilizers Limited,NFL
Nava Bharat Ventures Limited,NBVENTURES
Navin Fluorine International Limited,NAVINFLUOR
Navkar Corporation Limited,NAVKARCORP
Navneet Education Limited,NAVNETEDUL
NBCC (India) Limited,NBCC
NCC Limited,NCC
NCL Industries Limited,NCLIND
Nectar Lifesciences Limited,NECLIFE
Nelcast Limited,NELCAST
NELCO Limited,NELCO
Neogen Chemicals Limited,NEOGEN
Nesco Limited,NESCO
Network18 Media & Investments Limited,NETWORK18
Neuland Laboratories Limited,NEULANDLAB
New Delhi Television Limited,NDTV
Newgen Software Technologies Limited,NEWGEN
NHPC Limited,NHPC
NIIT Limited,NIITLTD
NIIT Technologies Limited,NIITTECH
Nilkamal Limited,NILKAMAL
Nippon Life India Asset Management Limited,NAM-INDIA
Nitin Spinners Limited,NITINSPIN
NLC India Limited,NLCINDIA
NMDC Limited,NMDC
NOCIL Limited,NOCIL
NRB Bearing Limited,NRBBEARING
NTPC Limited,NTPC
Nucleus Software Exports Limited,NUCLEUS
NXTDIGITAL LIMITED,NXTDIGITAL
Oberoi Realty Limited,OBEROIRLTY
Oil & Natural Gas Corporation Limited,ONGC
Oil India Limited,OIL
Olectra Greentech Limited,OLECTRA
Omaxe Limited,OMAXE
OnMobile Global Limited,ONMOBILE
Oracle Financial Services Software Limited,OFSS
Orbit Exports Limited,ORBTEXP
Oricon Enterprises Limited,ORICONENT
Orient Cement Limited,ORIENTCEM
Orient Electric Limited,ORIENTELEC
Orient Paper & Industries Limited,ORIENTPPR
Orient Refractories Limited,ORIENTREF
Oriental Aromatics Limited,OAL
Oriental Carbon & Chemicals Limited,OCCL
Oriental Hotels Limited,ORIENTHOT
Osia Hyper Retail Limited,OSIAHYPER
Oswal Chemicals & Fertilizers Limited,BINDALAGRO
Page Industries Limited,PAGEIND
Paisalo Digital Limited,PAISALO
Panacea Biotec Limited,PANACEABIO
Panama Petrochem Limited,PANAMAPET
Parag Milk Foods Limited,PARAGMILK
Patel Engineering Limited,PATELENG
PC Jeweller Limited,PCJEWELLER
PDS Multinational Fashions Limited,PDSMFL
Pearl Global Industries Limited,PGIL
Pennar Industries Limited,PENIND
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Pfizer Limited,PFIZER
Phillips Carbon Black Limited,PHILIPCARB
PI Industries Limited,PIIND
Pidilite Industries Limited,PIDILITIND
Pilani Investment and Industries Corporation Limited,PILANIINVS
Piramal Enterprises Limited,PEL
Plastiblends India Limited,PLASTIBLEN
PNB Gilts Limited,PNBGILTS
PNB Housing Finance Limited,PNBHOUSING
PNC Infratech Limited,PNCINFRA
Pokarna Limited,POKARNA
Poly Medicure Limited,POLYMED
Polycab India Limited,POLYCAB
Polyplex Corporation Limited,POLYPLEX
Power Finance Corporation Limited,PFC
Power Grid Corporation of India Limited,POWERGRID
Power Mech Projects Limited,POWERMECH
PPAP Automotive Limited,PPAP
Prabhat Dairy Limited,PRABHAT
Praj Industries Limited,PRAJIND
Prakash Industries Limited,PRAKASH
Prataap Snacks Limited,DIAMONDYD
Precision Camshafts Limited,PRECAM
Precision Wires India Limited,PRECWIRE
Prestige Estates Projects Limited,PRESTIGE
Pricol Limited,PRICOLLTD
Prime Focus Limited,PFOCUS
Prince Pipes And Fittings Limited,PRINCEPIPE
Prism Johnson Limited,PRSMJOHNSN
Procter & Gamble Health Limited,PGHL
Procter & Gamble Hygiene and Health Care Limited,PGHH
PSP Projects Limited,PSPPROJECT
PTC India Financial Services Limited,PFS
PTC India Limited,PTC
PTL Enterprises Limited,PTL
Punjab & Sind Bank,PSB
Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
Punjab National Bank,PNB
Puravankara Limited,PURVA
PVR Limited,PVR
Quess Corp Limited,QUESS
Quick Heal Technologies Limited,QUICKHEAL
R Systems International Limited,RSYSTEMS
Radico Khaitan Limited,RADICO
Rail Vikas Nigam Limited,RVNL
Rain Industries Limited,RAIN
Raj Television Network Limited,RAJTV
Rajesh Exports Limited,RAJESHEXPO
Rallis India Limited,RALLIS
Ramco Industries Limited,RAMCOIND
Ramco Systems Limited,RAMCOSYS
Ramkrishna Forgings Limited,RKFORGE
Ramky Infrastructure Limited,RAMKY
Rane (Madras) Limited,RML
Rane Brake Lining Limited,RBL
Rane Holdings Limited,RANEHOLDIN
Rashtriya Chemicals and Fertilizers Limited,RCF
Ratnamani Metals & Tubes Limited,RATNAMANI
RattanIndia Infrastructure Limited,RTNINFRA
RattanIndia Power Limited,RTNPOWER
Raymond Limited,RAYMOND
RBL Bank Limited,RBLBANK
REC Limited,RECLTD
Redington (India) Limited,REDINGTON
Relaxo Footwears Limited,RELAXO
Reliance Communications Limited,RCOM
Reliance Industrial Infrastructure Limited,RIIL
Reliance Industries Limited,RELIANCE
Reliance Infrastructure Limited,RELINFRA
Reliance Power Limited,RPOWER
Religare Enterprises Limited,RELIGARE
Renaissance Global Limited,RGL
Repco Home Finance Limited,REPCOHOME
Repro India Limited,REPRO
Responsive Industries Limited,RESPONIND
Rico Auto Industries Limited,RICOAUTO
RITES Limited,RITES
RPG Life Sciences Limited,RPGLIFE
RSWM Limited,RSWM
Rupa & Company Limited,RUPA
S H Kelkar and Company Limited,SHK
S. P. Apparels Limited,SPAL
Sadbhav Engineering Limited,SADBHAV
Sadbhav Infrastructure Project Limited,SADBHIN
Safari Industries (India) Limited,SAFARI
Sagar Cements Limited,SAGCEM
Sandhar Technologies Limited,SANDHAR
Sangam (India) Limited,SANGAMIND
Sanghi Industries Limited,SANGHIIND
Sanghvi Movers Limited,SANGHVIMOV
Sanofi India Limited,SANOFI
Sarda Energy & Minerals Limited,SARDAEN
Saregama India Limited,SAREGAMA
Sasken Technologies Limited,SASKEN
Sastasundar Ventures Limited,SASTASUNDR
Satia Industries Limited,SATIA
Satin Creditcare Network Limited,SATIN
Savita Oil Technologies Limited,SOTL
SBI Cards and Payment Services Limited,SBICARD
SBI Life Insurance Company Limited,SBILIFE
Schaeffler India Limited,SCHAEFFLER
Schneider Electric Infrastructure Limited,SCHNEIDER
Seamec Limited,SEAMECLTD
Security and Intelligence Services (India) Limited,SIS
Sequent Scientific Limited,SEQUENT
Seshasayee Paper and Boards Limited,SESHAPAPER
Shakti Pumps (India) Limited,SHAKTIPUMP
Shalby Limited,SHALBY
Shalimar Paints Limited,SHALPAINTS
Shankara Building Products Limited,SHANKARA
Shanthi Gears Limited,SHANTIGEAR
Sharda Cropchem Limited,SHARDACROP
Sharda Motor Industries Limited,SHARDAMOTR
Sheela Foam Limited,SFL
Shilpa Medicare Limited,SHILPAMED
Shipping Corporation Of India Limited,SCI
Shoppers Stop Limited,SHOPERSTOP
SHREE CEMENT LIMITED,SHREECEM
Shree Digvijay Cement Co.Ltd,SHREDIGCEM
Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK
Shree Rama Newsprint Limited,RAMANEWS
Shree Renuka Sugars Limited,RENUKA
Shriram City Union Finance Limited,SHRIRAMCIT
Shriram EPC Limited,SHRIRAMEPC
Shriram Pistons & Rings Limited,SHRIPISTON
Shriram Transport Finance Company Limited,SRTRANSFIN
Siemens Limited,SIEMENS
Sirca Paints India Limited,SIRCA
Siyaram Silk Mills Limited,SIYSIL
SJVN Limited,SJVN
SKF India Limited,SKFINDIA
Skipper Limited,SKIPPER
SML Isuzu Limited,SMLISUZU
SMS Pharmaceuticals Limited,SMSPHARMA
Snowman Logistics Limited,SNOWMAN
Sobha Limited,SOBHA
Solar Industries India Limited,SOLARINDS
Solara Active Pharma Sciences Limited,SOLARA
Som Distilleries & Breweries Limited,SDBL
Somany Ceramics Limited,SOMANYCERA
Somany Home Innovation Limited,SHIL
Sonata Software Limited,SONATSOFTW
Southern Petrochemicals Industries Corporation  Limited,SPIC
Spandana Sphoorty Financial Limited,SPANDANA
Spencer's Retail Limited,SPENCERS
Sreeleathers Limited,SREEL
SREI Infrastructure Finance Limited,SREINFRA
SRF Limited,SRF
Srikalahasthi Pipes Limited,SRIPIPES
Star Cement Limited,STARCEMENT
State Bank of India,SBIN
Steel Authority of India Limited,SAIL
Steel Strips Wheels Limited,SSWL
Sterling And Wilson Solar Limited,SWSOLAR
Sterling Tools Limited,STERTOOLS
Sterlite Technologies Limited,STRTECH
Strides Pharma Science Limited,STAR
Subex Limited,SUBEX
Subros Limited,SUBROS
Sudarshan Chemical Industries Limited,SUDARSCHEM
Sumitomo Chemical India Limited,SUMICHEM
Summit Securities Limited,SUMMITSEC
Sun Pharma Advanced Research Company Limited,SPARC
Sun Pharmaceutical Industries Limited,SUNPHARMA
Sun TV Network Limited,SUNTV
Sundaram Clayton Limited,SUNCLAYLTD
Sundaram Finance Holdings Limited,SUNDARMHLD
Sundaram Finance Limited,SUNDARMFIN
Sundram Fasteners Limited,SUNDRMFAST
Sunflag Iron And Steel Company Limited,SUNFLAG
Sunteck Realty Limited,SUNTECK
Suprajit Engineering Limited,SUPRAJIT
Supreme Industries Limited,SUPREMEIND
Supreme Petrochem Limited,SUPPETRO
Surya Roshni Limited,SURYAROSNI
Sutlej Textiles and Industries Limited,SUTLEJTEX
Suven Life Sciences Limited,SUVEN
Suven Pharmaceuticals Limited,SUVENPHAR
Suzlon Energy Limited,SUZLON
Swan Energy Limited,SWANENERGY
Swaraj Engines Limited,SWARAJENG
Symphony Limited,SYMPHONY
Syngene International Limited,SYNGENE
Taj GVK Hotels & Resorts Limited,TAJGVK
Take Solutions Limited,TAKE
Tamil Nadu Newsprint & Papers Limited,TNPL
Tamilnadu PetroProducts Limited,TNPETRO
Tanla Solutions Limited,TANLA
Tasty Bite Eatables Limited,TASTYBITE
Tata Chemicals Limited,TATACHEM
Tata Coffee Limited,TATACOFFEE
Tata Communications Limited,TATACOMM
Tata Consultancy Services Limited,TCS
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
Tata Elxsi Limited,TATAELXSI
Tata Investment Corporation Limited,TATAINVEST
Tata Metaliks Limited,TATAMETALI
Tata Motors Limited,TATAMOTORS
Tata Power Company Limited,TATAPOWER
Tata Steel Bsl Limited,TATASTLBSL
Tata Steel Limited,TATASTEEL
Tata Steel Long Products Limited,TATASTLLP
Tata Teleservices (Maharashtra) Limited,TTML
TCI Express Limited,TCIEXP
TCNS Clothing Co. Limited,TCNSBRANDS
TCPL Packaging Limited,TCPLPACK
TD Power Systems Limited,TDPOWERSYS
Teamlease Services Limited,TEAMLEASE
Tech Mahindra Limited,TECHM
Techno Electric & Engineering Company Limited,TECHNOE
Technocraft Industries (India) Limited,TIIL
Tejas Networks Limited,TEJASNET
Texmaco Infrastructure & Holdings Limited,TEXINFRA
Texmaco Rail & Engineering Limited,TEXRAIL
Thangamayil Jewellery Limited,THANGAMAYL
The Andhra Sugars Limited,ANDHRSUGAR
The Anup Engineering Limited,ANUP
The Federal Bank  Limited,FEDERALBNK
The Great Eastern Shipping Company Limited,GESHIP
The Hi-Tech Gears Limited,HITECHGEAR
The India Cements Limited,INDIACEM
The Indian Hotels Company Limited,INDHOTEL
The Investment Trust Of India Limited,THEINVEST
The Jammu & Kashmir Bank Limited,J&KBANK
The Karnataka Bank Limited,KTKBANK
The New India Assurance Company Limited,NIACL
The Orissa Minerals Development Company Limited,ORISSAMINE
The Phoenix Mills Limited,PHOENIXLTD
The Ramco Cements Limited,RAMCOCEM
The Ruby Mills Limited,RUBYMILLS
The Sandesh Limited,SANDESH
The South Indian Bank Limited,SOUTHBANK
The State Trading Corporation of India Limited,STCINDIA
The Tinplate Company of India Limited,TINPLATE
Thejo Engineering Limited,THEJO
Themis Medicare Limited,THEMISMED
Thermax Limited,THERMAX
Thirumalai Chemicals Limited,TIRUMALCHM
Thomas Cook  (India)  Limited,THOMASCOOK
Thyrocare Technologies Limited,THYROCARE
Tide Water Oil Company (India) Limited,TIDEWATER
Tilaknagar Industries Limited,TI
Time Technoplast Limited,TIMETECHNO
Timken India Limited,TIMKEN
Titagarh Wagons Limited,TWL
Titan Company Limited,TITAN
Torrent Pharmaceuticals Limited,TORNTPHARM
Torrent Power Limited,TORNTPOWER
Tourism Finance Corporation of India Limited,TFCILTD
Transport Corporation of India Limited,TCI
Trent Limited,TRENT
Trident Limited,TRIDENT
Triveni Engineering & Industries Limited,TRIVENI
Triveni Turbine Limited,TRITURBINE
TTK Healthcare Limited,TTKHLTCARE
TTK Prestige Limited,TTKPRESTIG
Tube Investments of India Limited,TIINDIA
TV Today Network Limited,TVTODAY
TV18 Broadcast Limited,TV18BRDCST
TVS Motor Company Limited,TVSMOTOR
TVS Srichakra Limited,TVSSRICHAK
Ucal Fuel Systems Limited,UCALFUEL
UCO Bank,UCOBANK
UFLEX Limited,UFLEX
UFO Moviez India Limited,UFO
Ujjivan Financial Services Limited,UJJIVAN
Ujjivan Small Finance Bank Limited,UJJIVANSFB
UltraTech Cement Limited,ULTRACEMCO
Unichem Laboratories Limited,UNICHEMLAB
Union Bank of India,UNIONBANK
Uniphos Enterprises Limited,UNIENTER
Unitech Limited,UNITECH
United Breweries Limited,UBL
United Spirits Limited,MCDOWELL-N
Universal Cables Limited,UNIVCABLES
UPL Limited,UPL
Usha Martin Limited,USHAMART
Uttam Sugar Mills Limited,UTTAMSUGAR
V-Guard Industries Limited,VGUARD
V-Mart Retail Limited,VMART
V.S.T Tillers Tractors Limited,VSTTILLERS
V2 Retail Limited,V2RETAIL
VA Tech Wabag Limited,WABAG
Vadilal Industries Limited,VADILALIND
Vaibhav Global Limited,VAIBHAVGBL
Vakrangee Limited,VAKRANGEE
Vardhman Acrylics Limited,VARDHACRLC
Vardhman Holdings Limited,VHL
Vardhman Special Steels Limited,VSSL
Vardhman Textiles Limited,VTL
Varroc Engineering Limited,VARROC
Varun Beverages Limited,VBL
Vedanta Limited,VEDL
Venky's (India) Limited,VENKEYS
Vesuvius India Limited,VESUVIUS
Vidhi Specialty Food Ingredients Limited,VIDHIING
Vinati Organics Limited,VINATIORGA
Vindhya Telelinks Limited,VINDHYATEL
VIP Industries Limited,VIPIND
Vipul Limited,VIPULLTD
Visaka Industries Limited,VISAKAIND
Vishwaraj Sugar Industries Limited,VISHWARAJ
Vodafone Idea Limited,IDEA
Voltamp Transformers Limited,VOLTAMP
Voltas Limited,VOLTAS
VRL Logistics Limited,VRLLOG
VST Industries Limited,VSTIND
WABCO India Limited,WABCOINDIA
Welspun Corp Limited,WELCORP
Welspun Enterprises Limited,WELENT
Welspun India Limited,WELSPUNIND
Wendt (India) Limited,WENDT
West Coast Paper Mills Limited,WSTCSTPAPR
Wheels India Limited,WHEELS
Whirlpool of India Limited,WHIRLPOOL
Wipro Limited,WIPRO
Wockhardt Limited,WOCKPHARMA
Wonderla Holidays Limited,WONDERLA
Xchanging Solutions Limited,XCHANGING
Yes Bank Limited,YESBANK
Zee Entertainment Enterprises Limited,ZEEL
Zee Learn Limited,ZEELEARN
Zee Media Corporation Limited,ZEEMEDIA
Zen Technologies Limited,ZENTEC
Zensar Technologies Limited,ZENSARTECH
Zodiac Clothing Company Limited,ZODIACLOTH
Zota Health Care LImited,ZOTA
Zuari Agro Chemicals Limited,ZUARI
Zydus Wellness Limited,ZYDUSWELL